sample_id	genotype_id	qtl_group	sex
ERR188022	NA12812	LCL	male
ERR188024	NA12749	LCL	female
ERR188027	NA07056	LCL	female
ERR188032	NA12275	LCL	female
ERR188039	NA12144	LCL	male
ERR188047	NA06994	LCL	male
ERR188048	NA12489	LCL	female
ERR188049	NA11931	LCL	female
ERR188051	NA12830	LCL	female
ERR188058	NA12005	LCL	male
ERR188061	NA12761	LCL	female
ERR188062	NA11992	LCL	male
ERR188067	NA11831	LCL	male
ERR188076	NA12006	LCL	female
ERR188077	NA11893	LCL	male
ERR188081	NA12814	LCL	male
ERR188086	NA11892	LCL	female
ERR188092	NA12546	LCL	male
ERR188099	NA12843	LCL	female
ERR188100	NA12762	LCL	male
ERR188101	NA10847	LCL	female
ERR188107	NA12342	LCL	male
ERR188122	NA11894	LCL	female
ERR188134	NA12827	LCL	male
ERR188140	NA12716	LCL	male
ERR188142	NA12287	LCL	female
ERR188148	NA12282	LCL	male
ERR188152	NA12751	LCL	female
ERR188157	NA12872	LCL	male
ERR188161	NA11918	LCL	female
ERR188172	NA12154	LCL	male
ERR188176	NA07357	LCL	male
ERR188177	NA12234	LCL	female
ERR188181	NA12413	LCL	male
ERR188196	NA12717	LCL	female
ERR188202	NA06989	LCL	female
ERR188213	NA06986	LCL	male
ERR188216	NA12873	LCL	female
ERR188217	NA11832	LCL	female
ERR188220	NA12400	LCL	female
ERR188227	NA12874	LCL	male
ERR188228	NA12829	LCL	male
ERR188229	NA12044	LCL	female
ERR188235	NA11930	LCL	male
ERR188244	NA12718	LCL	female
ERR188246	NA11840	LCL	female
ERR188256	NA12777	LCL	male
ERR188262	NA12283	LCL	female
ERR188272	NA11881	LCL	male
ERR188277	NA12340	LCL	male
ERR188279	NA12776	LCL	female
ERR188291	NA12813	LCL	female
ERR188301	NA11994	LCL	male
ERR188308	NA12760	LCL	male
ERR188319	NA12249	LCL	female
ERR188324	NA07347	LCL	male
ERR188325	NA06984	LCL	male
ERR188327	NA06985	LCL	female
ERR188331	NA12155	LCL	male
ERR188336	NA12004	LCL	female
ERR188339	NA12815	LCL	female
ERR188348	NA11995	LCL	female
ERR188349	NA12842	LCL	male
ERR188350	NA12399	LCL	male
ERR188354	NA12775	LCL	male
ERR188371	NA11920	LCL	female
ERR188376	NA07037	LCL	female
ERR188377	NA12045	LCL	male
ERR188388	NA12341	LCL	female
ERR188389	NA10851	LCL	male
ERR188396	NA12383	LCL	female
ERR188404	NA12750	LCL	male
ERR188410	NA12156	LCL	female
ERR188413	NA12890	LCL	female
ERR188414	NA12043	LCL	male
ERR188415	NA12058	LCL	female
ERR188420	NA12763	LCL	female
ERR188426	NA11843	LCL	male
ERR188429	NA12889	LCL	male
ERR188431	NA12273	LCL	female
ERR188433	NA11829	LCL	male
ERR188435	NA11830	LCL	female
ERR188438	NA12272	LCL	male
ERR188441	NA12348	LCL	female
ERR188446	NA12347	LCL	male
ERR188467	NA12286	LCL	male
ERR188474	NA07051	LCL	male
ERR188477	NA12778	LCL	female
ERR188481	NA07048	LCL	male
